"filename", "language", "toml", "Python", "Markdown", "comment", "blank", "total"
"c:\Users\philippe1\Documents\Code\Python\smart-decision-miniprojet\README.md", "Markdown", 0, 0, 3, 0, 1, 4
"c:\Users\philippe1\Documents\Code\Python\smart-decision-miniprojet\pyproject.toml", "toml", 20, 0, 0, 0, 2, 22
"c:\Users\philippe1\Documents\Code\Python\smart-decision-miniprojet\src\smart_decision_miniproject\TSP_datamodel\__init__.py", "Python", 0, 6, 0, 0, 0, 6
"c:\Users\philippe1\Documents\Code\Python\smart-decision-miniprojet\src\smart_decision_miniproject\TSP_datamodel\distance_matrix.py", "Python", 0, 45, 0, 2, 15, 62
"c:\Users\philippe1\Documents\Code\Python\smart-decision-miniprojet\src\smart_decision_miniproject\TSP_datamodel\distance_matrix_factory.py", "Python", 0, 268, 0, 8, 25, 301
"c:\Users\philippe1\Documents\Code\Python\smart-decision-miniprojet\src\smart_decision_miniproject\TSP_datamodel\geo_utils.py", "Python", 0, 77, 0, 29, 24, 130
"c:\Users\philippe1\Documents\Code\Python\smart-decision-miniprojet\src\smart_decision_miniproject\__init__.py", "Python", 0, 2, 0, 0, 1, 3
"c:\Users\philippe1\Documents\Code\Python\smart-decision-miniprojet\src\smart_decision_miniproject\hmi\__init__.py", "Python", 0, 0, 0, 0, 1, 1
"c:\Users\philippe1\Documents\Code\Python\smart-decision-miniprojet\src\smart_decision_miniproject\hmi\task1_page.py", "Python", 0, 516, 0, 38, 84, 638
"c:\Users\philippe1\Documents\Code\Python\smart-decision-miniprojet\src\smart_decision_miniproject\hmi\task2_page.py", "Python", 0, 466, 0, 52, 97, 615
"c:\Users\philippe1\Documents\Code\Python\smart-decision-miniprojet\src\smart_decision_miniproject\hmi\task3_page.py", "Python", 0, 5, 0, 1, 1, 7
"c:\Users\philippe1\Documents\Code\Python\smart-decision-miniprojet\src\smart_decision_miniproject\hmi\web_hmi.py", "Python", 0, 171, 0, 17, 36, 224
"c:\Users\philippe1\Documents\Code\Python\smart-decision-miniprojet\src\smart_decision_miniproject\solver\TSP.py", "Python", 0, 264, 0, 152, 73, 489
"c:\Users\philippe1\Documents\Code\Python\smart-decision-miniprojet\src\smart_decision_miniproject\solver\VRP.py", "Python", 0, 288, 0, 135, 79, 502
"c:\Users\philippe1\Documents\Code\Python\smart-decision-miniprojet\src\smart_decision_miniproject\solver\__init__.py", "Python", 0, 5, 0, 0, 1, 6
"c:\Users\philippe1\Documents\Code\Python\smart-decision-miniprojet\src\smart_decision_miniproject\timer\__init__.py", "Python", 0, 3, 0, 0, 2, 5
"c:\Users\philippe1\Documents\Code\Python\smart-decision-miniprojet\src\smart_decision_miniproject\timer\timer.py", "Python", 0, 34, 0, 27, 12, 73
"c:\Users\philippe1\Documents\Code\Python\smart-decision-miniprojet\src\smart_decision_miniproject\timer\timer_manager.py", "Python", 0, 94, 0, 76, 31, 201
"c:\Users\philippe1\Documents\Code\Python\smart-decision-miniprojet\test_algorithms.py", "Python", 0, 16, 0, 6, 7, 29
"c:\Users\philippe1\Documents\Code\Python\smart-decision-miniprojet\test_chinese_cities.py", "Python", 0, 14, 0, 4, 7, 25
"c:\Users\philippe1\Documents\Code\Python\smart-decision-miniprojet\uv.lock", "toml", 1489, 0, 0, 0, 71, 1560
"Total", "-", 1509, 2274, 3, 547, 570, 4903
